,user_id,session_id,timestamp,page_name,event_type,product_id
0,U001,6944b531,2024-05-01 21:34:00,homepage,scroll,Unknown
1,U001,6944b531,2024-05-01 21:36:00,product_page,click,P183
2,U001,6944b531,2024-05-01 21:44:00,cart,scroll,P144
3,U001,959300eb,2024-05-01 13:34:00,homepage,click,Unknown
4,U001,959300eb,2024-05-01 13:39:00,product_page,page_view,P132
5,U001,9e2cd910,2024-05-01 10:14:00,homepage,click,Unknown
6,U001,9e2cd910,2024-05-01 10:17:00,product_page,page_view,P146
7,U001,9e2cd910,2024-05-01 10:16:00,cart,scroll,P141
8,U001,9e2cd910,2024-05-01 10:23:00,checkout,scroll,Unknown
9,U001,c84eba7a,2024-05-03 15:20:00,homepage,click,Unknown
10,U001,c84eba7a,2024-05-03 15:21:00,product_page,scroll,P192
11,U001,c84eba7a,2024-05-03 15:28:00,cart,click,P141
12,U001,c84eba7a,2024-05-03 15:32:00,checkout,page_view,Unknown
13,U001,7c997f94,2024-05-02 19:01:00,homepage,click,Unknown
14,U001,7c997f94,2024-05-02 19:05:00,product_page,scroll,P134
15,U001,c508e512,2024-05-02 11:54:00,homepage,click,Unknown
16,U001,c508e512,2024-05-02 11:55:00,product_page,page_view,P137
17,U001,f2967fec,2024-05-02 10:49:00,homepage,click,Unknown
18,U001,f2967fec,2024-05-02 10:50:00,product_page,scroll,P115
19,U001,f2967fec,2024-05-02 10:59:00,cart,page_view,P139
20,U001,11378b57,2024-05-01 21:20:00,homepage,click,Unknown
21,U001,11378b57,2024-05-01 21:21:00,product_page,click,P179
22,U001,9ff25637,2024-05-01 14:31:00,homepage,scroll,Unknown
23,U001,9ff25637,2024-05-01 14:33:00,product_page,page_view,P180
24,U001,9ff25637,2024-05-01 14:37:00,cart,scroll,P199
25,U001,5d49e1d1,2024-05-03 13:21:00,homepage,click,Unknown
26,U001,5d49e1d1,2024-05-03 13:22:00,product_page,click,P169
27,U001,0e7e0c7a,2024-05-02 16:01:00,homepage,scroll,Unknown
28,U001,0e7e0c7a,2024-05-02 16:06:00,product_page,scroll,P167
29,U001,0e7e0c7a,2024-05-02 16:07:00,cart,scroll,P150
30,U001,0e7e0c7a,2024-05-02 16:16:00,checkout,scroll,Unknown
31,U001,0e7e0c7a,2024-05-02 16:17:00,purchase,scroll,Unknown
32,U001,54c62ac9,2024-05-02 19:34:00,homepage,click,Unknown
33,U001,54c62ac9,2024-05-02 19:38:00,product_page,page_view,P184
34,U001,54c62ac9,2024-05-02 19:42:00,cart,scroll,P106
35,U001,85cf0e07,2024-05-01 16:14:00,homepage,click,Unknown
36,U001,85cf0e07,2024-05-01 16:16:00,product_page,scroll,P165
37,U001,85cf0e07,2024-05-01 16:20:00,cart,page_view,P175
38,U001,f6e9da55,2024-05-02 21:17:00,homepage,page_view,Unknown
39,U001,f6e9da55,2024-05-02 21:22:00,product_page,scroll,P109
40,U001,45bf4405,2024-05-01 14:27:00,homepage,click,Unknown
41,U001,45bf4405,2024-05-01 14:31:00,product_page,page_view,P184
42,U001,45bf4405,2024-05-01 14:29:00,cart,click,P173
43,U001,45bf4405,2024-05-01 14:36:00,checkout,scroll,Unknown
44,U001,f62a981a,2024-05-03 19:17:00,homepage,scroll,Unknown
45,U001,f62a981a,2024-05-03 19:20:00,product_page,click,P175
46,U001,f62a981a,2024-05-03 19:25:00,cart,page_view,P148
47,U001,a4d51727,2024-05-02 15:35:00,homepage,click,Unknown
48,U001,a4d51727,2024-05-02 15:36:00,product_page,page_view,P160
49,U001,a4d51727,2024-05-02 15:39:00,cart,page_view,P156
50,U001,899ffd1b,2024-05-03 14:57:00,homepage,page_view,Unknown
51,U001,899ffd1b,2024-05-03 14:59:00,product_page,scroll,P170
52,U001,899ffd1b,2024-05-03 15:01:00,cart,click,P111
53,U001,899ffd1b,2024-05-03 15:00:00,checkout,scroll,Unknown
54,U001,899ffd1b,2024-05-03 15:01:00,purchase,scroll,Unknown
55,U002,f2460194,2024-05-02 18:10:00,homepage,page_view,Unknown
56,U002,f2460194,2024-05-02 18:15:00,product_page,page_view,P162
57,U002,f2460194,2024-05-02 18:18:00,cart,click,P142
58,U002,f2460194,2024-05-02 18:25:00,checkout,click,Unknown
59,U002,f2460194,2024-05-02 18:14:00,purchase,page_view,Unknown
60,U002,9e2898e9,2024-05-01 21:32:00,homepage,page_view,Unknown
61,U002,9e2898e9,2024-05-01 21:36:00,product_page,scroll,P107
62,U002,9e2898e9,2024-05-01 21:38:00,cart,scroll,P108
63,U002,9e2898e9,2024-05-01 21:41:00,checkout,click,Unknown
64,U002,ebaccf72,2024-05-02 18:45:00,homepage,page_view,Unknown
65,U002,ebaccf72,2024-05-02 18:47:00,product_page,click,P147
66,U002,ebaccf72,2024-05-02 18:51:00,cart,page_view,P137
67,U002,ebaccf72,2024-05-02 19:00:00,checkout,scroll,Unknown
68,U002,ebaccf72,2024-05-02 18:53:00,purchase,scroll,Unknown
69,U002,b7cbbd78,2024-05-02 18:06:00,homepage,scroll,Unknown
70,U002,b7cbbd78,2024-05-02 18:08:00,product_page,page_view,P189
71,U002,b7cbbd78,2024-05-02 18:14:00,cart,click,P189
72,U002,b7cbbd78,2024-05-02 18:12:00,checkout,click,Unknown
73,U002,c1423fea,2024-05-02 19:47:00,homepage,scroll,Unknown
74,U002,c1423fea,2024-05-02 19:50:00,product_page,page_view,P162
75,U002,c1423fea,2024-05-02 19:53:00,cart,click,P199
76,U002,c1423fea,2024-05-02 19:53:00,checkout,scroll,Unknown
77,U002,b656663c,2024-05-03 17:34:00,homepage,click,Unknown
78,U002,b656663c,2024-05-03 17:37:00,product_page,page_view,P142
79,U002,b656663c,2024-05-03 17:40:00,cart,scroll,P103
80,U002,b656663c,2024-05-03 17:37:00,checkout,click,Unknown
81,U002,077dcd18,2024-05-01 15:14:00,homepage,click,Unknown
82,U002,077dcd18,2024-05-01 15:15:00,product_page,page_view,P127
83,U002,7a26984f,2024-05-02 11:59:00,homepage,click,Unknown
84,U002,7a26984f,2024-05-02 12:01:00,product_page,click,P169
85,U002,7a26984f,2024-05-02 12:09:00,cart,click,P163
86,U002,7a26984f,2024-05-02 12:05:00,checkout,scroll,Unknown
87,U002,1f33d0d6,2024-05-01 13:21:00,homepage,click,Unknown
88,U002,1f33d0d6,2024-05-01 13:25:00,product_page,scroll,P184
89,U002,1f33d0d6,2024-05-01 13:25:00,cart,scroll,P144
90,U002,1f33d0d6,2024-05-01 13:36:00,checkout,scroll,Unknown
91,U002,1f33d0d6,2024-05-01 13:29:00,purchase,scroll,Unknown
92,U002,30beea7b,2024-05-03 13:39:00,homepage,scroll,Unknown
93,U002,30beea7b,2024-05-03 13:44:00,product_page,page_view,P102
94,U002,30beea7b,2024-05-03 13:41:00,cart,click,P184
95,U002,30beea7b,2024-05-03 13:51:00,checkout,click,Unknown
96,U002,5fff22ea,2024-05-02 22:49:00,homepage,scroll,Unknown
97,U002,5fff22ea,2024-05-02 22:51:00,product_page,page_view,P155
98,U002,5fff22ea,2024-05-02 22:55:00,cart,scroll,P199
99,U002,b6e3117a,2024-05-02 15:04:00,homepage,click,Unknown
100,U002,b6e3117a,2024-05-02 15:08:00,product_page,page_view,P163
101,U002,fdf7ee55,2024-05-02 09:20:00,homepage,page_view,Unknown
102,U002,fdf7ee55,2024-05-02 09:23:00,product_page,page_view,P135
103,U002,fdf7ee55,2024-05-02 09:30:00,cart,scroll,P115
104,U002,fdf7ee55,2024-05-02 09:32:00,checkout,page_view,Unknown
105,U002,fdf7ee55,2024-05-02 09:36:00,purchase,page_view,Unknown
106,U002,1b587d4d,2024-05-03 08:02:00,homepage,scroll,Unknown
107,U002,1b587d4d,2024-05-03 08:07:00,product_page,page_view,P112
